City,DIESEL,RON 91,RON 95
Caloocan City,67.70,67.50,74.80
Makati City,67.75,72.80,77.66
Manila,68.80,68.70,77.40
Muntinlupa City,72.49,69.38,70.88
Para̱aque City,66.69,70.53,0
Pasay City,69.75,71.15,68.70
Pasig City,67.25,67.65,67.50
Quezon City,0,69.95,76.30
Taguig Cty,70.70,71.70,73.20
